<剧情章节表>
斗一章节区间表:
  序章: < 斗罗历2637年1月1日
  第一章: 斗罗历2637年1月1日
  第二章: 斗罗历2637年3月1日
  第三章: 斗罗历2637年3月15日
  第四章: 斗罗历2643年8月1日
  第五章: 斗罗历2643年8月10日
  第六章: 斗罗历2643年8月25日
  第七章: 斗罗历2643年9月1日
  第八章: 斗罗历2643年9月15日
  第九章: 斗罗历2643年10月1日
  第十章: 斗罗历2643年11月1日
  第十一章: 斗罗历2643年11月15日
  第十二章: 斗罗历2644年2月1日
  第十三章: 斗罗历2644年4月1日
  第十四章: 斗罗历2644年6月1日
  第十五章: 斗罗历2645年4月1日
  第十六章: 斗罗历2645年7月1日
  第十七章: 斗罗历2645年9月1日
  第十八章: 斗罗历2645年10月1日
  第十九章: 斗罗历2645年11月1日
  第二十章: 斗罗历2647年6月1日
  第二十一章: 斗罗历2647年7月1日
  第二十二章: 斗罗历2649年8月1日
  第二十三章: 斗罗历2651年6月1日
  第二十四章: 斗罗历2651年7月1日
  第二十五章: 斗罗历2652年1月1日
  第二十六章: 斗罗历2652年4月1日
  第二十七章: 斗罗历2652年6月1日
  第二十八章: 斗罗历2652年7月1日
  第二十九章: 斗罗历2655年8月1日
  第三十章: 斗罗历2655年10月1日
  第三十一章: 斗罗历2656年1月1日
  第三十二章: 斗罗历2656年4月1日
</剧情章节表>
