<剧情章节表>
斗二章节区间表:
  序章: < 霍氏纪11年8月1日
  第一章: 霍氏纪11年8月1日
  第二章: 霍氏纪11年8月10日
  第三章: 霍氏纪11年8月20日
  第四章: 霍氏纪11年11月1日
  第五章: 霍氏纪11年11月10日
  第六章: 霍氏纪11年11月20日
  第七章: 霍氏纪12年8月1日
  第八章: 霍氏纪13年2月1日
  第九章: 霍氏纪13年3月1日
  第十章: 霍氏纪13年3月15日
  第十一章: 霍氏纪13年4月1日
  第十二章: 霍氏纪13年5月1日
  第十三章: 霍氏纪13年6月1日
  第十四章: 霍氏纪15年2月1日
  第十五章: 霍氏纪16年1月1日
  第十六章: 霍氏纪17年8月1日
  第十七章: 霍氏纪17年8月15日
  第十八章: 霍氏纪17年9月1日
  第十九章: 霍氏纪17年10月1日
  第二十章: 霍氏纪18年2月1日
  第二十一章: 霍氏纪18年3月1日
  第二十二章: 霍氏纪18年3月15日
  第二十三章: 霍氏纪18年3月25日
  第二十四章: 霍氏纪18年4月1日
  第二十五章: 霍氏纪18年4月15日
  第二十六章: 霍氏纪18年5月1日
  第二十七章: 霍氏纪18年6月1日
  第二十八章: 霍氏纪18年7月1日
  第二十九章: 霍氏纪18年9月1日
  第三十章: 霍氏纪18年11月1日
  第三十一章: 霍氏纪19年3月1日
  第三十二章: 霍氏纪19年6月1日
  第三十三章: 霍氏纪21年1月1日
  第三十四章: 霍氏纪22年1月1日
  第三十五章: 霍氏纪26年1月1日
</剧情章节表>
